date,kleur,opslag,provider,los_toestel,KPN_toestel,KPN_abonnement,KPN_abonnement_zonder_toestel,KPN_toestelprijs,KPN_aanbetaling,Odido_toestel,Odido_abonnement,Odido_abonnement_zonder_toestel,Odido_toestelprijs,Odido_aanbetaling,Vodafone_toestel,Vodafone_abonnement,Vodafone_abonnement_zonder_toestel,Vodafone_toestelprijs,Vodafone_aanbetaling
02/07/2025,,,,1231,960,66.5,26.5,,,912,65.5,27.5,,,960,62.5,22.5,,
03/07/2025,,,,1219,960,66.5,26.5,,,912,65.5,27.5,,,960,62.5,22.5,,
04/07/2025,,,,1219,1122,67.5,26.5,1122,138,1032,69,27.5,1032,36,1052,62.5,22.5,1052,92
05/07/2025,,,,1219,1122,67.5,26.5,1122,138,1032,69,27.5,1032,36,1052,62.5,22.5,1052,92
06/07/2025,,,,1219,1122,67.5,26.5,1122,138,1032,69,27.5,1032,36,1052,62.5,22.5,1052,92
07/07/2025,,,,1219,1122,67.5,26.5,1122,138,1032,69,27.5,1032,36,1052,62.5,22.5,1052,92
08/07/2025,,,,1219,1122,67.5,26.5,1122,138,1032,69,27.5,1032,36,1052,62.5,22.5,1052,92
09/07/2025,,,,1219,1122,67.5,26.5,1122,138,1032,69,27.5,1032,36,1052,62.5,22.5,1052,92
10/07/2025,,,,1219,1122,67.5,26.5,1122,138,1032,69,27.5,1032,36,1052,62.5,22.5,1052,92
11/07/2025,,,,1219,1122,67.5,26.5,1122,138,1032,69,27.5,1032,36,1052,62.5,22.5,1052,92
12/07/2025,,,,1219,1122,67.5,26.5,1122,138,1032,69,27.5,1032,36,1052,62.5,22.5,1052,92
13/07/2025,,,,1231,1122,67.5,26.5,1122,138,1032,69,27.5,1032,36,1052,62.5,22.5,1052,92
14/07/2025,,,,1219,1122,67.5,26.5,1122,138,1068,69,27.5,1068,72,1052,62.5,22.5,1052,92
15/07/2025,,,,1231,1122,67.5,26.5,1122,138,1068,69,27.5,1068,72,1052,62.5,22.5,1052,92
16/07/2025,,,,1231,1122,67.5,26.5,1122,138,1068,69,27.5,1068,72,1052,62.5,22.5,1052,92
17/07/2025,,,,1219,1122,67.5,26.5,1122,138,1068,69,27.5,1068,72,1052,62.5,22.5,1052,92
18/07/2025,,,,1219,1122,67.5,26.5,1122,138,1068,69,27.5,1068,72,1052,62.5,22.5,1052,92
19/07/2025,,,,1219,1122,67.5,26.5,1122,138,1068,69,27.5,1068,72,1052,62.5,22.5,1052,92
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
